0.00.002.959 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.003.129 I srv          init: The UI is disabled
0.00.003.150 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.004.882 I srv    load_model: loading model '/home/user/tools/models/qwen2.5-1.5b-instruct-q4_k_m.gguf'
0.00.643.787 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.01.677.986 I srv    load_model: initializing, n_slots = 2, n_ctx_slot = 4096, kv_unified = 'false'
0.01.683.416 I srv  llama_server: model loaded
0.01.683.450 I srv  llama_server: listening on http://127.0.0.1:18082
0.21.814.458 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = -1
0.21.814.621 I slot launch_slot_: id  1 | task 0 | processing task, is_child = 0
0.28.400.527 I slot print_timing: id  1 | task 0 | prompt eval time =    1892.19 ms /   233 tokens (    8.12 ms per token,   123.14 tokens per second)
0.28.400.558 I slot print_timing: id  1 | task 0 |        eval time =    4693.61 ms /    93 tokens (   50.47 ms per token,    19.81 tokens per second)
0.28.400.559 I slot print_timing: id  1 | task 0 |       total time =    6585.80 ms /   326 tokens
0.28.400.567 I slot print_timing: id  1 | task 0 |    graphs reused =         91
0.28.400.633 I slot      release: id  1 | task 0 | stop processing: n_tokens = 325, truncated = 0
0.30.280.383 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, sim_best = 0.105 (> 0.100 thold), f_keep = 0.074
0.30.286.772 I slot launch_slot_: id  1 | task 94 | processing task, is_child = 0
0.37.015.609 I slot print_timing: id  1 | task 94 | n_decoded =    100, tg =  19.88 t/s, tg_3s =  19.88 t/s
0.37.380.474 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.37.380.927 I slot launch_slot_: id  0 | task 202 | processing task, is_child = 0
0.40.064.472 I slot print_timing: id  1 | task 94 | n_decoded =    108, tg =  13.37 t/s, tg_3s =   2.62 t/s
0.43.101.411 I slot print_timing: id  1 | task 94 | n_decoded =    152, tg =  13.67 t/s, tg_3s =  14.49 t/s
0.46.145.630 I slot print_timing: id  1 | task 94 | n_decoded =    196, tg =  13.84 t/s, tg_3s =  14.45 t/s
0.46.418.183 I slot print_timing: id  1 | task 94 | prompt eval time =    1697.69 ms /   204 tokens (    8.32 ms per token,   120.16 tokens per second)
0.46.418.206 I slot print_timing: id  1 | task 94 |        eval time =   14433.33 ms /   200 tokens (   72.17 ms per token,    13.86 tokens per second)
0.46.418.207 I slot print_timing: id  1 | task 94 |       total time =   16131.02 ms /   404 tokens
0.46.418.209 I slot print_timing: id  1 | task 94 |    graphs reused =        287
0.46.418.748 I slot      release: id  1 | task 94 | stop processing: n_tokens = 427, truncated = 0
0.46.773.947 I slot print_timing: id  0 | task 202 | n_decoded =    100, tg =  14.90 t/s, tg_3s =  14.90 t/s
0.49.820.238 I slot print_timing: id  0 | task 202 | n_decoded =    159, tg =  16.30 t/s, tg_3s =  19.37 t/s
0.51.958.998 I slot print_timing: id  0 | task 202 | prompt eval time =    2682.85 ms /   322 tokens (    8.33 ms per token,   120.02 tokens per second)
0.51.959.020 I slot print_timing: id  0 | task 202 |        eval time =   11894.62 ms /   200 tokens (   59.47 ms per token,    16.81 tokens per second)
0.51.959.021 I slot print_timing: id  0 | task 202 |       total time =   14577.47 ms /   522 tokens
0.51.959.023 I slot print_timing: id  0 | task 202 |    graphs reused =        392
0.51.959.991 I slot      release: id  0 | task 202 | stop processing: n_tokens = 521, truncated = 0
0.56.984.684 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.154 (> 0.100 thold), f_keep = 0.046
0.56.995.536 I slot launch_slot_: id  0 | task 403 | processing task, is_child = 0
1.01.759.121 I slot print_timing: id  0 | task 403 | prompt eval time =    1108.17 ms /   132 tokens (    8.40 ms per token,   119.11 tokens per second)
1.01.759.126 I slot print_timing: id  0 | task 403 |        eval time =    3646.35 ms /    75 tokens (   48.62 ms per token,    20.57 tokens per second)
1.01.759.126 I slot print_timing: id  0 | task 403 |       total time =    4754.52 ms /   207 tokens
1.01.759.128 I slot print_timing: id  0 | task 403 |    graphs reused =        465
1.01.759.458 I slot      release: id  0 | task 403 | stop processing: n_tokens = 230, truncated = 0
1.05.996.049 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1213004743
1.05.996.265 I slot launch_slot_: id  1 | task 479 | processing task, is_child = 0
1.12.693.355 I slot print_timing: id  1 | task 479 | prompt eval time =    2814.04 ms /   343 tokens (    8.20 ms per token,   121.89 tokens per second)
1.12.693.385 I slot print_timing: id  1 | task 479 |        eval time =    3879.03 ms /    77 tokens (   50.38 ms per token,    19.85 tokens per second)
1.12.693.386 I slot print_timing: id  1 | task 479 |       total time =    6693.08 ms /   420 tokens
1.12.693.387 I slot print_timing: id  1 | task 479 |    graphs reused =        540
1.12.694.399 I slot      release: id  1 | task 479 | stop processing: n_tokens = 443, truncated = 0
1.19.591.679 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, sim_best = 0.571 (> 0.100 thold), f_keep = 0.104
1.19.591.906 I slot launch_slot_: id  0 | task 557 | processing task, is_child = 0
1.22.718.425 I slot print_timing: id  0 | task 557 | prompt eval time =     176.68 ms /    18 tokens (    9.82 ms per token,   101.88 tokens per second)
1.22.718.430 I slot print_timing: id  0 | task 557 |        eval time =    2940.91 ms /    64 tokens (   45.95 ms per token,    21.76 tokens per second)
1.22.718.431 I slot print_timing: id  0 | task 557 |       total time =    3117.60 ms /    82 tokens
1.22.718.432 I slot print_timing: id  0 | task 557 |    graphs reused =        602
1.22.719.280 I slot      release: id  0 | task 557 | stop processing: n_tokens = 105, truncated = 0
1.36.451.122 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 1239280378
1.36.451.311 I slot launch_slot_: id  1 | task 622 | processing task, is_child = 0
